n,binlabel,method,bias,variance,rmse
5,0-1000,BS,-0.0287,0.1022,0.3211
5,0-1000,Cal,-0.0019,0.0561,0.2369
5,0-1000,Flex,-0.0392,0.0804,0.2864
5,0-1000,Rag,-0.0241,0.2873,0.5362
5,0-1000,Samp,0.1069,0.0636,0.2739
5,0-1000,Supp,0.0857,0.8457,0.9221
5,0-1000,mCal,-0.0584,0.0693,0.2698
5,1000-10000,BS,-0.0272,0.1224,0.351
5,1000-10000,Cal,0.0156,0.0656,0.2565
5,1000-10000,Flex,-0.0373,0.0945,0.3098
5,1000-10000,Rag,-0.0193,0.2315,0.4809
5,1000-10000,Samp,0.1465,0.0742,0.3092
5,1000-10000,Supp,0.1102,1.0171,1.0133
5,1000-10000,mCal,-0.0567,0.0798,0.2882
5,10000-100000,BS,-0.0117,0.1242,0.3528
5,10000-100000,Cal,0.0685,0.0534,0.241
5,10000-100000,Flex,-0.0135,0.0819,0.2866
5,10000-100000,Rag,-0.002,0.1511,0.3881
5,10000-100000,Samp,0.2146,0.0727,0.3445
5,10000-100000,Supp,0.1484,1.0696,1.0434
5,10000-100000,mCal,-0.0242,0.0647,0.2555
5,100000-1000000,BS,-0.0028,0.1145,0.3385
5,100000-1000000,Cal,0.0991,0.0395,0.2218
5,100000-1000000,Flex,0.0036,0.0656,0.2561
5,100000-1000000,Rag,0.0061,0.1068,0.3264
5,100000-1000000,Samp,0.2455,0.0646,0.3533
5,100000-1000000,Supp,0.1544,0.9838,1.0023
5,100000-1000000,mCal,-0.0014,0.0487,0.2206
10,0-1000,BS,-0.0232,0.0354,0.1896
10,0-1000,Cal,-0.0211,0.0265,0.1643
10,0-1000,Flex,-0.0224,0.0339,0.1855
10,0-1000,Rag,-0.0191,0.1486,0.3857
10,0-1000,Samp,0.0403,0.0287,0.1741
10,0-1000,Supp,-0.1038,2.0831,1.4396
10,0-1000,mCal,-0.0476,0.0293,0.1777
10,1000-10000,BS,-0.0224,0.0411,0.2039
10,1000-10000,Cal,-0.0128,0.0303,0.1746
10,1000-10000,Flex,-0.0203,0.0392,0.1989
10,1000-10000,Rag,-0.018,0.1108,0.3331
10,1000-10000,Samp,0.057,0.0333,0.1912
10,1000-10000,Supp,-0.1158,2.3582,1.5329
10,1000-10000,mCal,-0.0463,0.033,0.1875
10,10000-100000,BS,-0.0104,0.0334,0.1829
10,10000-100000,Cal,0.0227,0.0211,0.1471
10,10000-100000,Flex,-0.0043,0.0291,0.1706
10,10000-100000,Rag,-0.0084,0.0502,0.2237
10,10000-100000,Samp,0.0909,0.0269,0.1875
10,10000-100000,Supp,-0.0599,2.0308,1.421
10,10000-100000,mCal,-0.0198,0.0228,0.1522
10,100000-1000000,BS,-0.0037,0.0242,0.1556
10,100000-1000000,Cal,0.0428,0.012,0.1174
10,100000-1000000,Flex,0.0055,0.0184,0.1357
10,100000-1000000,Rag,-0.0024,0.0224,0.1495
10,100000-1000000,Samp,0.1068,0.0192,0.1748
10,100000-1000000,Supp,-0.0305,1.6557,1.2798
10,100000-1000000,mCal,-0.0032,0.0131,0.1142
25,0-1000,BS,-0.0122,0.0115,0.108
25,0-1000,Cal,-0.0187,0.0099,0.1014
25,0-1000,Flex,-0.011,0.011,0.1055
25,0-1000,Rag,-0.0055,0.0642,0.2533
25,0-1000,Samp,0.0118,0.0106,0.1037
25,0-1000,Supp,-1.4366,11864.6908,49.3405
25,0-1000,mCal,-0.03,0.0104,0.1064
25,1000-10000,BS,-0.0122,0.013,0.1145
25,1000-10000,Cal,-0.0145,0.0112,0.107
25,1000-10000,Flex,-0.0105,0.0126,0.1128
25,1000-10000,Rag,-0.008,0.0433,0.2081
25,1000-10000,Samp,0.0176,0.012,0.1109
25,1000-10000,Supp,-1.1599,10084.5477,43.3282
25,1000-10000,mCal,-0.0285,0.0117,0.1117
25,10000-100000,BS,-0.007,0.0083,0.0916
25,10000-100000,Cal,0.004,0.0068,0.0825
25,10000-100000,Flex,-0.0025,0.0078,0.0883
25,10000-100000,Rag,-0.0057,0.016,0.1262
25,10000-100000,Samp,0.031,0.0077,0.0933
25,10000-100000,Supp,-0.3164,3143.3131,16.7305
25,10000-100000,mCal,-0.0138,0.007,0.0848
25,100000-1000000,BS,-0.0029,0.0039,0.0625
25,100000-1000000,Cal,0.0159,0.0025,0.0527
25,100000-1000000,Flex,0.004,0.0031,0.0559
25,100000-1000000,Rag,-0.0028,0.0041,0.0637
25,100000-1000000,Samp,0.0385,0.0036,0.0712
25,100000-1000000,Supp,0.28,3391.3871,9.0541
25,100000-1000000,mCal,-0.0033,0.0026,0.0515
